<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.09	12149.80	12415.89	11820.75	11853.10	97507	0	200
2020.11.10	11870.63	11907.50	11511.70	11631.00	103033	0	200
2020.11.11	11636.04	11924.35	11583.58	11900.90	85192	0	200
2020.11.12	11905.37	11979.99	11782.14	11867.10	85073	0	200
2020.11.13	11863.17	11957.47	11807.68	11950.53	72642	0	200
2020.11.16	11962.42	12068.89	11857.06	12044.90	77720	0	200
2020.11.17	12077.82	12093.30	11959.96	11973.90	69364	0	200
2020.11.18	11973.78	12027.46	11863.23	11876.00	72173	0	200
2020.11.19	11875.27	11999.26	11804.85	11965.00	70911	0	200
2020.11.20	11952.72	12019.29	11874.57	11885.94	65873	0	200
2020.11.23	11895.00	12003.34	11810.67	11917.60	63629	0	200
2020.11.24	11914.71	12104.26	11875.62	12101.20	65694	0	200
2020.11.25	12096.54	12177.25	12078.40	12167.80	68789	0	200
2020.11.26	12172.63	12221.75	12127.85	12143.56	30802	0	200
2020.11.27	12155.00	12307.75	12136.63	12267.83	43347	0	200
2020.11.30	12286.70	12335.08	12086.42	12317.80	75392	0	200
2020.12.01	12331.26	12511.06	12311.40	12458.50	71179	0	200
2020.12.02	12458.66	12472.23	12315.43	12462.10	67835	0	200
2020.12.03	12472.08	12538.69	12442.11	12485.30	64015	0	200
2020.12.04	12484.74	12534.00	12447.22	12505.80	56751	0	200
2020.12.07	12524.50	12610.22	12475.00	12569.20	64328	0	200
2020.12.08	12573.61	12650.42	12502.34	12646.10	63864	0	200
2020.12.09	12659.37	12671.99	12308.16	12351.10	68116	0	200
2020.12.10	12344.19	12449.87	12219.51	12388.50	75917	0	200
2020.12.11	12391.12	12414.63	12236.54	12367.41	68690	0	200
2020.12.14	12417.78	12544.56	12387.34	12466.40	66675	0	200
2020.12.15	12467.25	12604.74	12423.81	12595.10	65238	0	200
2020.12.16	12600.27	12699.62	12569.07	12673.50	64126	0	200
2020.12.17	12674.71	12764.49	12666.28	12749.90	61848	0	200
2020.12.18	12743.25	12786.07	12608.73	12737.03	67649	0	200
2020.12.21	12762.12	12780.83	12463.72	12692.50	93442	0	200
2020.12.22	12709.75	12761.97	12600.31	12710.90	82662	0	200
2020.12.23	12707.12	12743.54	12627.36	12661.40	77670	0	200
2020.12.24	12663.25	12729.43	12636.93	12680.25	43664	0	200
2020.12.28	12681.50	12859.46	12662.50	12847.10	66125	0	200
2020.12.29	12849.79	12922.45	12814.39	12861.10	63736	0	200
2020.12.30	12861.35	12913.30	12825.44	12845.10	67592	0	200
2020.12.31	12849.95	12870.32	12826.86	12828.69	34586	0	200
2021.01.04	12893.75	12964.87	12530.87	12696.00	112163	0	200
2021.01.05	12695.11	12817.14	12619.70	12812.00	109149	0	200
2021.01.06	12812.65	12852.12	12502.12	12667.80	141814	0	200
2021.01.07	12667.79	12967.08	12655.42	12934.80	111589	0	200
2021.01.08	12938.29	13126.16	12927.55	13122.54	104795	0	200
2021.01.11	13101.13	13113.12	12882.03	12915.30	79747	0	200
2021.01.12	12924.96	12967.12	12777.77	12892.70	76681	0	200
2021.01.13	12887.57	13008.73	12829.74	12981.00	69038	0	200
2021.01.14	12983.16	13035.52	12886.66	12905.30	72378	0	200
2021.01.15	12918.09	12935.19	12750.30	12779.95	80572	0	200
2021.01.18	12780.61	12822.80	12735.03	12819.68	38298	0	200
2021.01.19	12820.43	13038.78	12818.93	13038.30	70446	0	200
2021.01.20	13037.29	13333.09	13025.94	13295.40	72269	0	200
2021.01.21	13297.04	13430.65	13290.80	13403.10	69376	0	200
2021.01.22	13404.39	13408.64	13307.55	13367.40	72994	0	200
2021.01.25	13378.24	13562.39	13198.85	13472.60	79549	0	200
2021.01.26	13465.03	13606.44	13390.25	13560.30	75103	0	200
2021.01.27	13556.62	13592.84	12895.57	13070.30	90117	0	200
2021.01.28	13046.10	13402.89	12915.56	13161.20	109216	0	200
2021.01.29	13168.54	13194.66	12843.18	12895.98	101251	0	200
2021.02.01	12858.69	13280.35	12738.26	13243.60	95457	0	200
2021.02.02	13242.07	13512.57	13241.70	13505.30	84702	0	200
2021.02.03	13515.34	13590.91	13399.41	13426.80	77342	0	200
2021.02.04	13446.81	13575.94	13354.72	13572.50	75928	0	200
2021.02.05	13564.76	13643.01	13526.72	13610.58	71153	0	200
2021.02.08	13628.12	13698.30	13603.75	13692.00	67766	0	200
2021.02.09	13692.54	13741.78	13639.48	13703.90	64975	0	200
2021.02.10	13702.22	13774.83	13526.43	13670.50	73650	0	200
2021.02.11	13669.19	13747.69	13618.69	13715.20	68867	0	200
2021.02.12	13716.59	13819.50	13652.77	13819.25	63631	0	200
2021.02.15	13833.24	13883.02	13815.00	13876.79	29775	0	200
2021.02.16	13874.63	13904.88	13723.43	13759.10	72919	0	200
2021.02.17	13760.16	13788.52	13549.26	13701.70	77751	0	200
2021.02.18	13702.72	13724.09	13473.65	13642.70	81848	0	200
2021.02.19	13638.92	13728.83	13538.78	13571.86	80119	0	200
2021.02.22	13587.55	13631.32	13218.63	13224.60	92955	0	200
2021.02.23	13231.27	13338.66	12761.39	13160.30	102000	0	200
2021.02.24	13175.01	13338.65	12963.83	13319.10	103931	0	200
2021.02.25	13303.75	13357.50	12771.13	12794.20	103502	0	200
2021.02.26	12799.63	13092.11	12668.91	12893.19	117710	0	200
2021.03.01	12960.68	13320.25	12950.06	13315.60	93718	0	200
2021.03.02	13313.46	13330.21	13052.84	13059.70	99062	0	200
2021.03.03	13062.06	13193.20	12668.66	12683.70	96086	0	200
2021.03.04	12684.65	12798.25	12311.31	12435.90	118193	0	200
2021.03.05	12438.74	12699.99	12210.13	12659.63	152770	0	200
2021.03.08	12717.40	12763.15	12288.27	12338.00	158894	0	200
2021.03.09	12339.25	12868.61	12329.37	12788.80	112823	0	200
2021.03.10	12813.76	12995.08	12705.92	12789.40	101813	0	200
2021.03.11	12790.38	13119.94	12723.72	13045.40	95670	0	200
2021.03.12	13050.62	13094.23	12770.78	12936.22	91000	0	200
2021.03.15	12949.52	13098.27	12872.88	13083.60	92392	0	200
2021.03.16	13084.98	13295.53	13057.20	13163.30	82920	0	200
2021.03.17	13165.59	13282.74	12945.46	13180.50	87712	0	200
2021.03.18	13188.27	13277.27	12780.21	12807.70	98241	0	200
2021.03.19	12819.92	12912.95	12699.72	12846.17	100483	0	200
2021.03.22	12825.63	13168.57	12805.39	13073.70	90044	0	200
2021.03.23	13079.04	13183.97	12990.66	13041.20	96871	0	200
2021.03.24	13060.29	13156.02	12795.70	12807.90	96918	0	200
2021.03.25	12809.01	12870.75	12623.33	12801.90	100712	0	200
2021.03.26	12802.46	13000.79	12687.50	12971.69	92435	0	200
