<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.19	07:00:00	11813.06	11817.15	11799.74	11809.42	1223	0	200
2022.09.19	07:30:00	11809.30	11815.89	11806.34	11810.01	945	0	200
2022.09.19	08:00:00	11809.88	11820.47	11804.10	11810.06	1496	0	200
2022.09.19	08:30:00	11810.31	11813.21	11785.96	11786.46	1717	0	200
2022.09.19	09:00:00	11786.83	11787.20	11752.25	11776.25	2865	0	200
2022.09.19	09:30:00	11776.75	11791.13	11770.75	11788.75	1879	0	200
2022.09.19	10:00:00	11787.63	11789.75	11743.50	11756.88	3660	0	200
2022.09.19	10:30:00	11757.63	11776.38	11748.88	11754.63	2842	0	100
2022.09.19	11:00:00	11754.75	11786.25	11747.13	11779.38	2844	0	200
2022.09.19	11:30:00	11780.00	11781.00	11738.25	11742.75	2503	0	200
2022.09.19	12:00:00	11743.13	11759.13	11730.38	11742.63	2568	0	200
2022.09.19	12:30:00	11742.88	11749.63	11729.13	11745.63	2366	0	200
2022.09.19	13:00:00	11745.75	11748.75	11719.63	11738.63	2628	0	200
2022.09.19	13:30:00	11739.13	11757.63	11733.50	11756.38	2310	0	100
2022.09.19	14:00:00	11756.25	11767.50	11738.38	11739.50	2713	0	200
2022.09.19	14:30:00	11739.88	11756.25	11732.75	11733.63	2600	0	200
2022.09.19	15:00:00	11734.75	11764.25	11732.63	11757.75	3161	0	200
2022.09.19	15:30:00	11757.50	11794.38	11753.50	11775.88	3375	0	200
2022.09.19	16:00:00	11776.00	11786.25	11742.63	11746.75	3433	0	200
2022.09.19	16:30:00	11746.25	11858.50	11744.13	11842.38	7425	0	100
2022.09.19	17:00:00	11843.75	11863.88	11799.00	11842.50	7002	0	100
2022.09.19	17:30:00	11842.38	11902.25	11821.50	11873.88	6590	0	100
2022.09.19	18:00:00	11874.75	11905.13	11831.38	11831.75	6415	0	100
2022.09.19	18:30:00	11830.75	11835.25	11797.25	11806.00	5946	0	100
2022.09.19	19:00:00	11806.38	11826.75	11778.88	11811.63	6075	0	100
2022.09.19	19:30:00	11811.75	11881.38	11807.88	11871.88	5518	0	100
2022.09.19	20:00:00	11872.63	11877.88	11836.50	11872.63	5196	0	100
2022.09.19	20:30:00	11872.13	11873.00	11831.50	11847.25	5115	0	100
2022.09.19	21:00:00	11847.75	11861.25	11827.25	11848.25	5423	0	100
2022.09.19	21:30:00	11849.00	11877.50	11845.25	11875.13	5273	0	100
2022.09.19	22:00:00	11875.00	11952.00	11875.00	11939.25	5874	0	100
2022.09.19	22:30:00	11939.75	11960.00	11916.28	11953.80	6177	0	100
2022.09.19	23:00:00	11952.93	11992.22	11946.49	11962.37	2669	0	200
2022.09.19	23:30:00	11962.50	11982.96	11960.52	11972.07	1555	0	200
2022.09.20	01:00:00	11972.24	11990.85	11967.90	11979.95	1419	0	100
2022.09.20	01:30:00	11980.07	11985.54	11976.87	11977.86	791	0	200
